"Serie","Periodo","Ámbito|Total","Ámbito|Urbano","Ámbito|Rural",
"Población_en_pobreza","2020","7,468,173","1,958,879","5,509,294",
"Población_en_pobreza","2018","7,123,473","1,244,955","5,878,518",
"Población_en_pobreza","2016","7,115,579","1,272,651","5,842,928",
"Población_en_pobreza","2014","7,733,871","1,175,601","6,558,270",
"Población_en_pobreza","2012","7,674,780","1,175,069","6,499,711",
"Población_en_pobreza","2010","9,091,849","1,597,638","7,494,211",
"Población_en_pobreza","2008","8,800,766","1,356,496","7,444,270",
"Población_en_pobreza","2006","7,206,106","879,378","6,326,728",
"Población_en_pobreza","2005","9,733,129","1,153,666","8,579,463",
"Población_en_pobreza","2004","8,781,171","1,561,979","7,219,192",
"Población_en_pobreza","2002","8,687,865","962,182","7,725,683",
"Población_en_pobreza","2000","12,366,404","1,285,887","11,080,517",
"Población_en_pobreza","1998","16,702,402","2,746,235","13,956,167",
"Población_en_pobreza","1996","16,953,929","3,682,043","13,271,886",
"Población_en_pobreza","1994","11,210,965","1,344,400","9,866,565",
"Población_en_pobreza","1992","9,195,616","1,443,663","7,751,953",
