año,mes,extrema_rural,extrema_urbano,pobreza_rural,pobreza_urbano
1992,Ene,124.78,169.99,258.25,421.32
1993,Ene,137.39,186.02,284.87,465.98
1994,Ene,142.35,193.85,301.34,492.51
1995,Ene,151.24,206.91,324.43,529.68
1996,Ene,232.28,312.47,501.04,791.39
1997,Ene,301.61,403.41,640.19,1003.29
1998,Ene,336.11,453.63,728.81,1170.16
1999,Ene,412.34,544.33,877.94,1369.5
2000,Ene,430.47,581.24,961.58,1514.04
2001,Ene,464.16,625.18,1035.89,1629.04
2002,Ene,485.12,654.15,1083.91,1705.82
2003,Ene,504.88,681.29,1128.66,1782.02
2004,Ene,533.96,718.79,1179.14,1851.56
2005,Ene,556.47,753.34,1227.78,1929.07
2006,Ene,594.29,798.32,1288.64,2013.21
2007,Ene,643.07,850.98,1358.83,2097.51
2008,Ene,659.31,878.62,1397.52,2153.11
2009,Ene,723.94,958.15,1509.99,2295.64
2010,Ene,769.35,1013.69,1591.58,2399.02
2011,Ene,790.74,1048.97,1650.18,2485.11
2012,Ene,847.08,1108.57,1738.39,2568.48
2013,Ene,904.49,1180.95,1826.46,2628.02
2014,Ene,951.39,1247.46,1921.88,2803.6
2015,Ene,982.68,1297.3,1974.98,2867.52
2016,Ene,1034.91,1361.27,2050.84,2942.11
2017,Ene,1061.81,1404.52,2139.38,3073.55
2018,Ene,1151.09,1514.91,2287.83,3275.19
2019,Ene,1218.0,1600.7,2406.84,3437.11
2020,Ene,1255.26,1653.99,2485.43,3538.74
2021,Ene,1313.46,1725.66,2574.62,3660.23
2022,Ene,1481.1,1930.38,2811.92,3957.47
2023,Ene,1644.23,2143.72,3073.88,4275.21
2024,Ene,1798.56,2328.59,3285.68,4528.71
2025,Ene,1795.77,2366.33,3342.21,4660.52
